id;city;postcode;addresslines;lat;lon
1;Ziemechester;since;Senior;25506;16455
2;West Reece;Bicycle Bicycle;override Berkshire;7016;8800
3;Fort Urbanchester;copy Celsius;ew engine;17248;9376
4;New Nehafort;Pizza;Jewelery;19297;31963
5;Paulineboro;Cameroon Southwest;synthesizing off Zimbabwe;28916;27414
6;Lake Emelie;Diesel;Refined;10196;29169
7;North Idellland;National female;Southeast;352;19656
8;North Madisyn;Gasoline Rock Refined;exploit Ergonomic transmitter;19839;30407
9;Lake Irwinfurt;but accidentally envisioneer;Euro payment;29240;1256
10;Julieton;BMW;ivory Cadmium;970;24723
