id;name;amr_week;amr_year;utility;load_type;price;last_reading;contact_email
1;East Chief;21213;3791;COGENPOWER;CHILL_HEAT_PROCESS;22624;2023-08-11;turquoise
2;Electric Planner;7678;2738;HEAT;CHILL;253;2023-08-11;Intersex Designer Coupe
3;male;11587;19990;SOLARHEAT;CHILL_HEAT_PROCESS;12081;2023-08-10;since um inside
4;unde Soft Refined;7044;4573;ELECTRICITY;CHILL_PROCESS;31845;2023-08-11;Concrete devastation bah
5;Hawaii Electric male;23862;18657;HEAT;CHILL_PROCESS;25534;2023-08-11;payment
6;Direct;7852;25438;SOLARPOWER;HEAT;4146;2023-08-11;Neutrois Applications
7;Volkswagen Latin portrait;22258;11389;COGENPOWER;PROCESS_ONLY;14029;2023-08-11;into
8;aut;3459;17936;ELECTRICITY;CHILL_PROCESS;12748;2023-08-11;migration Koch Mann
9;positively South;9776;6582;ELECTRICITY;CHILL_PROCESS;17846;2023-08-11;User South connecting
10;West;2317;13506;SOLARPOWER;HEAT;19891;2023-08-11;Carolina unnatural Glens
