id;meter_description;meter_name;meter_utility;price_per_month
1;withdrawal Namibia Electronics;whoa connect;Compatible Virginia Producer;19747
2;Response with;Checking Recumbent triumph;Thallium sweeten Card;1361
3;weber watt;Electric Buckinghamshire bore;orchid;27091
4;maximize syndicate;vice quantifying Fiat;Convertible silver East;25930
5;Shoes female examiner;Oman quantity;Small;3350
6;structure quicker;Hybrid alongside Koruna;woman woot;7682
7;following;South Polonium bandwidth;Usability female Lead;2056
8;flicker circuit ack;hertz Licensed;Mayer;29849
9;B2B South;ohm Hat;Philippine;26856
10;primary bus;French;national sleeping Manager;14981
