id;name;waste_issue_creation_threshold;max_waste_issue_creation_rate;max_active_waste_issues;auto_create_waste_issues
1;Hafnium Gasoline;16342;1042;19253;false
2;Southeast;7652;20925;16383;false
3;frictionless Seaborgium;12320;9868;24890;true
4;Maine Alana female;32167;14156;22194;true
5;Central Tactics;29133;17454;24018;true
6;minty Jamaican copy;10654;23306;20143;true
7;Human Assistant;18698;16217;2827;false
8;psst Mobility;9767;28089;28623;false
9;Cab;9038;29546;13456;true
10;male architecto;13274;11379;9639;false
